domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.38284048354533,0.6538273191932177,"{""task"": [0.2679823935031891, 0.28191694617271423, 0.45010071992874146]}"
CR,metadata_router,combined,social,17295,0.18610038400734902,0.38461983232148017,"{""social"": [0.5189127326011658, 0.09486960619688034, 0.3862176835536957]}"
