domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,shared,combined,task,65346,0.25108178500478423,0.7006855813668779,"{""all"": [0.35, 0.35, 0.3]}"
CR,shared,combined,social,17295,0.04913519534401833,0.1238508239375542,"{""all"": [0.35, 0.35, 0.3]}"
