epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.712617874145508,-0.003966666415940865,1,-0.003966666415940865,0,3.2360464349912945,1.25946179399034,4.526067061000504
2,1.7314589023590088,-0.009139616164619321,1,-0.003966666415940865,1,2.609351285995217,1.2321637010027189,3.8416807430039626
3,1.391681432723999,0.23370648967744465,3,0.23370648967744465,0,2.677711755997734,1.2346643120108638,3.927923470007954
4,1.3000729084014893,0.24041878043639936,4,0.24041878043639936,0,2.5308283990016207,1.2217327730031684,3.75966084600077
5,1.3237196207046509,-0.03400425210157826,4,0.24041878043639936,1,2.54794877502718,1.309171059023356,3.8572597629972734
6,1.3254175186157227,0.19976210404248243,4,0.24041878043639936,2,2.3818131829902995,1.2409675430099014,3.622940214991104
7,1.3836162090301514,0.27830798930505873,7,0.27830798930505873,0,2.5527021669840906,1.2203970550035592,3.7812467929907143
8,1.3420324325561523,-0.0074433788711269705,7,0.27830798930505873,1,2.6717782380001154,1.2747919709945563,3.9467169280105736
9,1.2606208324432373,0.2695525800025842,7,0.27830798930505873,2,2.543002136022551,1.272228318004636,3.8154032829916105
10,1.1966650485992432,0.1911486290033306,7,0.27830798930505873,3,2.580671218020143,1.1810921619762667,3.761908668006072
11,1.1332260370254517,-0.017539846552262414,7,0.27830798930505873,4,2.8071008950064424,1.2106422549986746,4.017891983006848
12,1.200747013092041,0.06041694250426821,7,0.27830798930505873,5,2.681979020999279,1.248333747003926,3.9304599089955445
13,1.2219589948654175,0.20700188685086857,7,0.27830798930505873,6,2.552865926991217,1.2081935710157268,3.7612006590061355
