domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,shared,combined,task,65346,0.46155204584676474,0.7163254062987788,"{""all"": [0.35, 0.2, 0.45]}"
CR,shared,combined,social,17295,0.12469254549240755,0.26435385949696444,"{""all"": [0.35, 0.2, 0.45]}"
