domain,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CR,task,65346,0.0,0.031435537071561735,0.00843591923127516,0.06708903375876106
CR,social,17295,0.4624707275391685,0.3517073521693112,0.7163374760766569,0.6921653657126338
