epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.1530137062072754,0.13093462911887796,1,0.13093462911887796,0,41.2938391440548,17.077363037969917,58.433703231974505
2,1.3948336839675903,0.15722012377836064,2,0.15722012377836064,0,38.14642910298426,16.339681308018044,54.507394068990834
3,1.293921947479248,0.42956318591839027,3,0.42956318591839027,0,41.42822162003722,18.168610150925815,59.61688984907232
4,1.0676771402359009,0.2548133140598471,3,0.42956318591839027,1,42.066002444014885,17.650320346001536,59.71667478198651
5,0.9704521298408508,0.36630886837414267,3,0.42956318591839027,2,66.32682358601596,16.43507972196676,82.76232594705652
6,1.009156346321106,0.17930836855599605,3,0.42956318591839027,3,51.43613807100337,16.767693502944894,68.20454042591155
7,0.8364765644073486,0.44952132705366654,7,0.44952132705366654,0,45.731664285063744,16.716154527966864,62.46431443002075
8,0.9429936408996582,0.21447425139951853,7,0.44952132705366654,1,41.40788446296938,16.664314405992627,58.07243224198464
9,0.7850544452667236,0.19707765885520895,7,0.44952132705366654,2,40.00760785699822,16.539590155007318,56.54749205696862
10,0.8280134201049805,0.39851053842071416,7,0.44952132705366654,3,52.7034788581077,17.702408207929693,70.40607808402274
11,0.8077585697174072,0.1451805875270813,7,0.44952132705366654,4,46.79718621703796,17.822239028988406,64.61978572001681
12,0.7837062478065491,0.3651148367721538,7,0.44952132705366654,5,55.68873217504006,17.4711456829682,73.16029684210662
13,0.7073774337768555,0.2040869840098926,7,0.44952132705366654,6,64.58449378493242,17.568207416916266,82.1531959399581
