domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_uniform,combined,task,65346,0.45971118158880797,0.7296391515930585,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,prob_uniform,combined,social,17295,0.06661088395921332,0.1761202659728245,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
