domain,mode,feature,head,n_frames,kappa,accuracy,weights
CC,uniform,combined,task,215692,0.28393548854334694,0.5779815663075125,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CC,uniform,combined,social,184616,0.31231566786716924,0.5870347098843004,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
