role,n_frames,ccc,mae,rmse,pearson
expert,325778,0.012687056967624573,1.1115204777391663,1.1674808746087098,0.16136664519427965
novice,325778,0.0003083107173109245,1.2436450832661707,1.3141850266745247,0.0038013799661226377
